VBA Project,GUID,Friendly name
OL15Con,28716ba5-0774-44df-833b-0034d2c63319,how-to-save-from-excel-client-to-the-server
OL15Con,1cf5b314-39fa-996f-fd88-00380ffbc4de,pidtagnextsendacct
OL15Con,3fbec3be-82d2-cb12-9a02-006502b32895,ifreebusydata-placeholder5
OL15Con,e47d5a8d-6a13-f430-fbfd-00df04b4a006,iolkapptrebaser-endrebaseappointments
OL15Con,a2643cd7-474d-4e4c-85bb-00f0b6685a1d,get-started-with-workflows-in-sharepoint-2013
OL15Con,25508ec6-86bf-4eea-acf0-00f88e4faa55,how-to-create-filter-data-providers-for-performancepoint-services-in-sharepoint
OL15Con,a4572cd2-0dc1-439a-a265-0195766a4013,sample-tasks
OL15Con,e447127c-2b11-4d65-b46e-01a18cdcdee5,configure-search-in-sharepoint-2013
OL15Con,01a46083-03d0-4333-920c-01a9f17f68cb,selecting-an-api-or-technology-for-developing-solutions-for-outlook
OL15Con,ae9d73ed-1140-430b-9287-01dbbe8ae7d1,using-the-sharepoint-2013-search-query-apis
OL15Con,a1def24c-b2db-4bf9-8d2c-02f5628832f8,content-management-interoperability-services-cmis-in-sharepoint-2013
OL15Con,7b7059c0-ebe0-79d3-067a-040430e105cb,getting-started-outlook-auxiliary-reference
OL15Con,39f2163e-15cc-43bc-b131-041d5afdcd90,work-with-social-feeds-in-sharepoint-2013
OL15Con,a7d28349-3121-49ae-ad28-043789e2d205,getting-ready-to-release-an-osc-provider
OL15Con,e48e4812-a185-43c5-b243-04b1d79b88ee,external-events-and-alerts-in-sharepoint-2013
OL15Con,21d8db99-73b3-4429-b6cb-04e375af9f55,how-to-customize-page-layouts-for-a-catalog-based-site-in-sharepoint-2013
OL15Con,ff2911bd-9615-fc7d-eb03-0502debaa645,ifreebusysupport-placeholder6
OL15Con,d21aba9d-71a2-f090-d930-05fc6d84b673,ifreebusysupport-placeholder14
OL15Con,ae585dd3-82fe-46bb-ac93-065edc0a16f4,themes-overview-for-sharepoint-2013
OL15Con,08121e33-7820-4a31-b6da-06a4a54ec43f,hrprocessconvactionforsentitem
OL15Con,bc60ea49-c44e-4531-af62-06b8cf77d35d,how-to-create-an-external-content-type-from-an-odata-source-in-sharepoint-2013
OL15Con,e87c2327-f835-4278-9b68-06cb04360fcb,$$ol15weatherlocschema
OL15Con,3d692894-a0c1-b9dc-1196-07ecaa72afee,outlook-developer-reference-copyright-notice
OL15Con,c26c4160-31be-4358-89cf-082b8a1e6a6c,virtual-directories-in-sharepoint-2013-solutions
OL15Con,1425b9f2-606a-4522-b97c-0875d45eb175,outlook-social-connector-2013-provider-reference-copyright-notice
OL15Con,71fab25b-d4f3-4871-b9ad-08d3537098fc,workflow-conditions-quick-reference-sharepoint-2010-workflow-platform
OL15Con,63f58b9f-c814-4b6c-b896-098bfc02fc54,ifreebusydata-placeholder6
OL15Con,de7f56e2-c131-4955-b945-0a72043e0f5a,isocialsession-followperson
OL15Con,b60b3634-4c8b-4273-97a0-0a8a5a8a5342,registering-a-provider
OL15Con,236ebaf8-f92e-4192-9b51-0a9de0210885,how-to-retrieve-user-profile-properties-by-using-the-net-client-object-model-in
OL15Con,f1d62256-aca0-4a59-8145-0add9e68a449,how-to-create-a-mobile-app-in-sharepoint-2013-that-contains-data-from-an-externa
OL15Con,0dec535d-d48f-39a5-97d5-0bd109134b3b,about-persisting-tzdefinition-to-a-stream-to-commit-to-a-binary-property
OL15Con,8b585200-33e7-4607-a603-0c7e52a6b09d,testing-deployment
OL15Con,c50c5732-6750-44d4-9ab9-0d6df4b0d4d4,use-the-sharepoint-2013-object-model-in-an-app-for-sharepoint
OL15Con,544c87e5-887d-82ec-bf1a-0d95027fe0ec,iolkaccountmanager
OL15Con,3a5fcedc-aa9a-4ff4-95c0-0e0a7dea9d1f,how-to-deploy-a-claims-provider-in-sharepoint-2013
OL15Con,a86cb847-5d49-44b8-b2bc-0e35e70395b4,isocialsession-findperson
OL15Con,34fe2a35-6fb2-4c18-88f3-0edbb19716f1,isocialprofile-setstatus
OL15Con,1a782bac-48ee-4baf-8751-0f943a306e0f,sharepoint-2013-design-manager-display-templates
OL15Con,339c7dba-95ee-46e0-8c76-0fe1adb6f366,how-to-create-device-channels-in-sharepoint-2013_old
OL15Con,1951643d-e3ca-4d04-bc0c-10d9d0b35dad,capabilities-xml-elements
OL15Con,f2feeecb-1b4c-4049-be4e-11d414f13d9f,step-4-building-and-testing-the-application
OL15Con,979a5ffc-f033-4e72-b2d1-11d8cb1b294a,bdc-model-schema-reference-for-sharepoint-2013
OL15Con,d08a74c0-5674-4f26-8646-11ea1f081c85,sharepoint-2013-design-manager-image-renditions
OL15Con,c472ce02-4ef4-40a9-51de-12b37f092342,iolkaccounthelper-placeholder1
OL15Con,7a70d894-7cac-406e-8a34-12f9cd87470d,named-properties-account-management-api
OL15Con,883b1c5d-47dd-a006-b5f1-130691bdd019,iolkaccount-setprop
OL15Con,7e0550bc-92d1-407f-b8ba-1371c63bd16e,how-to-integrate-maps-with-windows-phone-apps-and-sharepoint-2013-lists
OL15Con,e1bc4900-d261-f692-386b-139ef6960212,pidtagprimarysendaccount
OL15Con,fe447899-d37a-4775-a09d-13ba3a878008,prop_acct_user_email_addr
OL15Con,f36645da-77c5-47f1-a2ca-13d4b62b320d,choose-the-right-api-set-in-sharepoint-2013
OL15Con,be615a89-3201-4cd8-bbc7-15f3abf9f668,sharepoint-2013-workflow-object-model
OL15Con,d9922e4b-4948-4c4a-a8ca-1623168143a3,how-to-retrieve-the-url-of-a-pages-library
OL15Con,02613912-36f6-4edc-a915-165d12e60bc8,accessing-a-schema
OL15Con,92f59a0d-3834-424d-ad81-167fdeba9bd0,what-s-new-for-providers
OL15Con,91a8ec9b-fb42-8081-cc23-172aa55531e1,outlook-weather-information-xml-schema
OL15Con,2c09bd02-bed0-4293-a4d4-1778692e246a,architecture-of-the-windows-phone-sharepoint-list-application-template
OL15Con,0799243e-ba92-44c4-b687-182e50b57cb7,outlook-social-connector-provider-error-codes
OL15Con,8b3c9a23-6378-4054-ad1c-193fc15c473c,isocialsession-logon
OL15Con,31004aec-7bd2-6e12-83eb-1a32da121c54,iolkaccountmanager-findaccount
OL15Con,3e40c475-f4c1-4a4f-a3e5-1a55f814d272,how-to-create-a-windows-phone-sharepoint-2013-list-app
OL15Con,4e705989-3fe1-4bdd-9721-1a800b086ccb,$$sp15con
OL15Con,36e8e3d5-83ac-4bd3-b556-1af132add3eb,accessing-the-soap-api
OL15Con,d8d41ced-c2bb-482e-b0bc-1b46c82121bd,isocialprovider-getautoconfiguredsession
OL15Con,65365b1d-cde5-47cd-8b04-1b76be0e3490,what-s-new-for-developers-in-social-and-collaboration-features-in-sharepoint-201
OL15Con,8bfefc48-1fbc-4b65-8156-1b7d0a8453ee,how-to-specify-a-range-address-and-sheet-name
OL15Con,80b9a360-bc2e-46c6-b0ca-1bc487b73db6,master-pages-the-master-page-gallery-and-page-layouts-in-sharepoint-2013
