Error Type,Topic Guid,Message
Warning,01a46083-03d0-4333-920c-01a9f17f68cb,Found herf tag with an image in file:01a46083-03d0-4333-920c-01a9f17f68cb.md total found:28
Warning,01a46083-03d0-4333-920c-01a9f17f68cb,Found invalid msdn links in md file:01a46083-03d0-4333-920c-01a9f17f68cb.md
Warning,01a46083-03d0-4333-920c-01a9f17f68cb,Found a an ul list inside a table in html file:01a46083-03d0-4333-920c-01a9f17f68cb.xml
Warning,04e00e49-c12d-4517-8574-410741d0fa06,Missing tables headers in file:04e00e49-c12d-4517-8574-410741d0fa06.md
Warning,08121e33-7820-4a31-b6da-06a4a54ec43f,Missing tables headers in file:08121e33-7820-4a31-b6da-06a4a54ec43f.md
Warning,0c518245-2c52-435d-98ad-ffad72a4527b,Found invalid msdn links in md file:0c518245-2c52-435d-98ad-ffad72a4527b.md
Warning,1127956a-37aa-c39e-60b4-343dcc4ead82,Missing tables headers in file:1127956a-37aa-c39e-60b4-343dcc4ead82.md
Warning,12cfe096-6882-c0be-b248-87567cb71e83,Missing tables headers in file:12cfe096-6882-c0be-b248-87567cb71e83.md
Warning,14e0c469-31dc-fbe2-0d45-da602df04f13,Missing tables headers in file:14e0c469-31dc-fbe2-0d45-da602df04f13.md
Warning,17c5e44e-ae56-8de7-3579-90171d996411,Missing tables headers in file:17c5e44e-ae56-8de7-3579-90171d996411.md
Warning,17df868b-d329-cefa-bd16-84960cbf5921,Missing tables headers in file:17df868b-d329-cefa-bd16-84960cbf5921.md
Warning,1951643d-e3ca-4d04-bc0c-10d9d0b35dad,Found a an ol list inside a table in html file:1951643d-e3ca-4d04-bc0c-10d9d0b35dad.xml
Warning,1cf5b314-39fa-996f-fd88-00380ffbc4de,Missing tables headers in file:1cf5b314-39fa-996f-fd88-00380ffbc4de.md
Warning,1fd848c7-038e-4e2f-8997-c8509b31df79,Found a an ul list inside a table in html file:1fd848c7-038e-4e2f-8997-c8509b31df79.xml
Warning,22d7c1e8-48b9-4768-b4de-9a9f32a3aabb,Missing tables headers in file:22d7c1e8-48b9-4768-b4de-9a9f32a3aabb.md
Warning,260ee328-e73f-48bc-7762-d592b7d42afc,Missing tables headers in file:260ee328-e73f-48bc-7762-d592b7d42afc.md
Warning,265028b7-a583-f6ba-0214-5a4322f98f35,Missing tables headers in file:265028b7-a583-f6ba-0214-5a4322f98f35.md
Warning,27732f6d-e030-4080-9684-69293a57598b,Missing tables headers in file:27732f6d-e030-4080-9684-69293a57598b.md
Warning,2de5c77c-3fac-cfb6-3719-68df4013cf11,Missing tables headers in file:2de5c77c-3fac-cfb6-3719-68df4013cf11.md
Warning,30d8268e-0c64-401d-8799-e8e1ba78b88f,Missing tables headers in file:30d8268e-0c64-401d-8799-e8e1ba78b88f.md
Warning,33cb89cb-c967-760c-6bc4-94118a4f872c,Missing tables headers in file:33cb89cb-c967-760c-6bc4-94118a4f872c.md
Warning,360854bb-e9be-a784-e80b-3f18418ded1b,Missing tables headers in file:360854bb-e9be-a784-e80b-3f18418ded1b.md
Warning,3b355b98-dd7d-4f16-8257-367e5dd61b34,Missing tables headers in file:3b355b98-dd7d-4f16-8257-367e5dd61b34.md
Warning,3f0853fc-f9f2-4314-ac55-47fe1e52d019,Missing tables headers in file:3f0853fc-f9f2-4314-ac55-47fe1e52d019.md
Warning,4202cafc-9011-406d-90b3-8dabf531c90b,Missing tables headers in file:4202cafc-9011-406d-90b3-8dabf531c90b.md
Warning,4c6d44d2-238b-42d8-896b-51d513c9e14c,Found a an ul list inside a table in html file:4c6d44d2-238b-42d8-896b-51d513c9e14c.xml
Warning,4c6d44d2-238b-42d8-896b-51d513c9e14c,Found nested table in md file:4c6d44d2-238b-42d8-896b-51d513c9e14c.md
Warning,4c6d44d2-238b-42d8-896b-51d513c9e14c,Fixing missing end table tag in file:4c6d44d2-238b-42d8-896b-51d513c9e14c.md
Warning,4c6d44d2-238b-42d8-896b-51d513c9e14c,Fixing missing end table tag in file:4c6d44d2-238b-42d8-896b-51d513c9e14c.md
Warning,4c6d44d2-238b-42d8-896b-51d513c9e14c,Fixing missing end table tag in file:4c6d44d2-238b-42d8-896b-51d513c9e14c.md
Warning,4c6d44d2-238b-42d8-896b-51d513c9e14c,Found invalid tables saving file:4c6d44d2-238b-42d8-896b-51d513c9e14c.md
Warning,52003a4e-1b61-2965-5204-6601652dd15b,Missing tables headers in file:52003a4e-1b61-2965-5204-6601652dd15b.md
Warning,544c87e5-887d-82ec-bf1a-0d95027fe0ec,Missing tables headers in file:544c87e5-887d-82ec-bf1a-0d95027fe0ec.md
Warning,5633d70c-ca3e-4b9d-8e85-ef98f85f1961,Missing tables headers in file:5633d70c-ca3e-4b9d-8e85-ef98f85f1961.md
Warning,599bfc7d-7b62-7cc1-69ff-6db04c96a49b,Missing tables headers in file:599bfc7d-7b62-7cc1-69ff-6db04c96a49b.md
Warning,5acca047-ff2a-716c-8dd4-b676fce1a3cf,Missing tables headers in file:5acca047-ff2a-716c-8dd4-b676fce1a3cf.md
Warning,5f2abb1a-fcf5-4d06-9576-34a50e21c911,Missing tables headers in file:5f2abb1a-fcf5-4d06-9576-34a50e21c911.md
Warning,6301d6b6-34fa-af8d-e682-605d35cfdf47,Missing tables headers in file:6301d6b6-34fa-af8d-e682-605d35cfdf47.md
Warning,69e1f5bc-354c-4c33-84a1-b1aa10d4b650,Found a an ul list inside a table in html file:69e1f5bc-354c-4c33-84a1-b1aa10d4b650.xml
